Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
Gradient Boosting,0.4383988861567515,0.0898406335480782,0.6590144070815653,0.723025186859697,0.4212219545972402
XGBoost,0.4490529954709486,0.06019789365689626,0.6577183332325002,0.7243979798450226,0.40168687458038327
LightGBM,0.453341725893738,0.04310170190125693,0.6472996222130367,0.7353403100224383,0.4334773623007508
Linear Regression,0.4772543237784784,0.0667655968924237,0.6471877411789544,0.7354569304121247,0.5160728473000639
ElasticNet,0.5019944658532435,0.05301482433498063,0.6470511164100357,0.7355993176234343,0.4786902187312503
Ridge,0.49369183210281375,0.049689157364892295,0.645832429655051,0.7368681878134695,0.4842513523526614
Random Forest,0.4350872013929436,0.09679918787136325,0.6222776275422666,0.7609774119758693,0.4093755521823805
Lasso,0.4323365871589889,0.05668445708798193,0.5646516614478196,0.8169657637649101,0.49545914790975815
