feature,importance
studytime_x_failures,0.36648934677621586
studytime,0.11034830647591633
failures,0.06601176992835336
Fedu,0.04868739047233337
studytime_x_age,0.04830793585565503
Medu,0.0436398843664673
failures_x_teacher_rating,0.031946190673817536
studytime_squared,0.027788555125867264
famrel,0.02735526098664538
age,0.025135515175949773
age_x_failures,0.02331099705623885
teacher_id,0.020569367858332528
age_x_teacher_rating,0.01860546994785023
sex_M,0.01621791450706122
student_teacher_ratio,0.015136738169856922
age_x_teacher_experience,0.012425944675046421
failures_squared,0.010762562088470677
studytime_x_teacher_rating,0.009500933471321953
failures_x_absences,0.00819964365672269
goout,0.006256967010492596
health,0.006224124460028881
absences_x_teacher_rating,0.00604853913132196
address_U,0.005613911468773747
building_condition_Poor,0.005416067206533041
absences_x_teacher_experience,0.0051436353270908055
teacher_rating,0.0050471183740109045
teacher_experience,0.004539211297917244
age_x_absences,0.0037820241941832486
library_quality,0.00367949214116175
school_id,0.003144309823955679
activities_yes,0.002700221395028876
famsup_yes,0.0025224509072581873
schoolsup_yes,0.0024345136536267522
age_squared,0.0022142498000178204
absences,0.0012376192498220761
school_size_Medium,0.0011797822672494802
internet_speed_Low,0.0008686921405813227
teaching_method_Traditional,0.0004119810798597134
teacher_subject_specialty_Math,0.00038605237621329084
paid_yes,0.00032180307870536797
famsize_LE3,0.0002572663442955122
Pstatus_T,0.00013024000374902968
internet_speed_Medium,0.0
sports_facilities_Fair,0.0
science_lab_yes,0.0
school_type_Public,0.0
teaching_method_Mixed,0.0
teacher_subject_specialty_Social,0.0
internet_yes,0.0
teacher_subject_specialty_Science,0.0
