Model,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
ElasticNet,0.5406182795026384,0.05260792605716253,0.6743324600505067,0.7065983975947349,0.44805578987407996
Ridge,0.5391502873427707,0.05833221110345285,0.6679190749911907,0.7135220135342097,0.48251285354359014
Linear Regression,0.5330926592915306,0.06252282795580782,0.6627728817305589,0.7190294144528122,0.49106142074355125
Random Forest,0.45898463557414376,0.06978076240989854,0.6255174565188077,0.7577068271131397,0.39055847295584584
Gradient Boosting,0.4583169451119743,0.08863060847205945,0.6106541293924282,0.7725973210347988,0.42002997787926133
Lasso,0.4491755591707891,0.05591121965142145,0.5813127550764963,0.8011803271238,0.47699174970224945
